Country,workout_2018_2023,home_workout_2018_2023,gym_workout_2018_2023,home_gym_2018_2023,workout_worldwide,home_workout_worldwide,gym_workout_worldwide,home_gym_worldwide,year
Guam,27.9672131147541,40.787234042553195,34.212765957446805,25.0,59.0,12.0,16.0,10.0,2018
Falkland Islands (Islas Malvinas),27.9672131147541,40.787234042553195,34.212765957446805,25.0,61.0,12.0,18.0,10.0,2018
Cook Islands,27.9672131147541,40.787234042553195,34.212765957446805,25.0,57.0,13.0,16.0,9.0,2018
Brunei,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.0,12.0,17.0,9.0,2018
Palau,27.9672131147541,40.787234042553195,34.212765957446805,25.0,51.0,12.0,17.0,9.0,2018
United States,100.0,36.0,27.0,37.0,58.0,12.0,17.0,9.0,2018
Gibraltar,27.9672131147541,40.787234042553195,34.212765957446805,25.0,50.0,11.0,17.0,10.0,2018
Northern Mariana Islands,27.9672131147541,40.787234042553195,34.212765957446805,25.0,49.0,11.0,15.0,9.0,2018
American Samoa,27.9672131147541,40.787234042553195,34.212765957446805,25.0,47.0,11.0,15.0,9.0,2018
Bermuda,27.9672131147541,40.787234042553195,34.212765957446805,25.0,48.0,11.0,13.0,10.0,2018
Seychelles,27.9672131147541,40.787234042553195,34.212765957446805,25.0,64.0,16.0,21.0,13.0,2019
Cayman Islands,27.9672131147541,40.787234042553195,34.212765957446805,25.0,63.0,14.0,17.0,10.0,2019
Canada,86.0,40.0,27.0,33.0,55.0,13.0,17.0,10.0,2019
Belize,27.9672131147541,40.787234042553195,34.212765957446805,25.0,54.0,11.0,15.0,9.0,2019
Turks & Caicos Islands,27.9672131147541,40.787234042553195,34.212765957446805,25.0,53.0,12.0,16.0,9.0,2019
Tonga,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.0,13.0,16.0,9.0,2019
Aruba,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.0,14.0,17.0,10.0,2019
Barbados,27.9672131147541,40.787234042553195,34.212765957446805,25.0,54.0,12.0,17.0,9.0,2019
Australia,77.0,30.0,34.0,36.0,49.0,11.0,16.0,10.0,2019
St. Kitts & Nevis,27.9672131147541,40.787234042553195,34.212765957446805,25.0,47.0,10.0,15.0,9.0,2019
Samoa,27.9672131147541,40.787234042553195,34.212765957446805,25.0,47.0,11.0,16.0,10.0,2019
U.S. Virgin Islands,27.9672131147541,40.787234042553195,34.212765957446805,25.0,48.0,11.0,14.0,10.0,2019
New Zealand,73.0,34.0,36.0,30.0,63.0,15.0,21.0,12.0,2020
Lebanon,73.0,40.787234042553195,34.212765957446805,25.0,60.0,13.0,18.0,11.0,2020
Trinidad & Tobago,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.0,13.0,17.0,11.0,2020
St. Lucia,27.9672131147541,40.787234042553195,34.212765957446805,25.0,100.0,82.0,13.0,34.0,2020
Antigua & Barbuda,27.9672131147541,40.787234042553195,34.212765957446805,25.0,80.0,44.0,10.0,25.0,2020
Grenada,27.9672131147541,40.787234042553195,34.212765957446805,25.0,71.0,29.0,11.0,23.0,2020
Faroe Islands,27.9672131147541,40.787234042553195,34.212765957446805,25.0,66.0,28.0,13.0,23.0,2020
Guernsey,27.9672131147541,40.787234042553195,34.212765957446805,25.0,62.0,23.0,13.0,23.0,2020
Ireland,69.0,33.0,36.0,31.0,58.0,21.0,15.0,20.0,2020
Philippines,69.0,52.0,38.0,10.0,55.0,19.0,14.0,18.0,2020
Jersey,27.9672131147541,40.787234042553195,34.212765957446805,25.0,48.0,20.0,12.0,19.0,2020
Sint Maarten,27.9672131147541,40.787234042553195,34.212765957446805,25.0,54.0,20.0,14.0,20.0,2020
Mauritius,27.9672131147541,40.787234042553195,34.212765957446805,25.0,71.0,31.0,16.0,25.0,2021
Singapore,66.0,37.0,39.0,24.0,62.0,22.0,14.0,18.0,2021
United Kingdom,66.0,34.0,36.0,30.0,63.0,19.0,15.0,17.0,2021
British Virgin Islands,27.9672131147541,40.787234042553195,34.212765957446805,25.0,62.0,18.0,14.0,17.0,2021
Maldives,27.9672131147541,40.787234042553195,34.212765957446805,25.0,58.0,19.0,14.0,17.0,2021
Malta,27.9672131147541,40.787234042553195,34.212765957446805,25.0,61.0,17.0,14.0,14.0,2021
Isle of Man,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.0,16.0,16.0,14.0,2021
Botswana,27.9672131147541,40.787234042553195,34.212765957446805,25.0,55.0,14.0,16.0,15.0,2021
Bahamas,27.9672131147541,40.787234042553195,34.212765957446805,25.0,51.0,14.0,15.0,13.0,2021
Solomon Islands,27.9672131147541,40.787234042553195,34.212765957446805,25.0,50.0,12.0,15.0,13.0,2021
Iceland,27.9672131147541,40.787234042553195,34.212765957446805,25.0,49.0,12.0,14.0,14.0,2021
Guyana,27.9672131147541,40.787234042553195,34.212765957446805,25.0,47.0,12.0,13.0,14.0,2021
Caribbean Netherlands,27.9672131147541,40.787234042553195,34.212765957446805,25.0,69.0,21.0,19.0,21.0,2022
United Arab Emirates,56.0,32.0,47.0,21.0,61.0,14.0,19.0,14.0,2022
Fiji,27.9672131147541,40.787234042553195,34.212765957446805,25.0,57.0,13.0,19.0,13.0,2022
Greenland,27.9672131147541,40.787234042553195,34.212765957446805,25.0,54.0,14.0,17.0,12.0,2022
South Africa,55.0,41.0,33.0,26.0,56.0,13.0,17.0,12.0,2022
Curaçao,27.9672131147541,40.787234042553195,34.212765957446805,25.0,58.0,14.0,20.0,11.0,2022
Namibia,27.9672131147541,40.787234042553195,34.212765957446805,25.0,51.0,14.0,20.0,12.0,2022
Qatar,52.0,40.787234042553195,34.212765957446805,25.0,54.0,13.0,20.0,12.0,2022
Bhutan,27.9672131147541,40.787234042553195,34.212765957446805,25.0,49.0,11.0,19.0,11.0,2022
Bahrain,27.9672131147541,40.787234042553195,34.212765957446805,25.0,46.0,11.0,16.0,11.0,2022
Djibouti,27.9672131147541,40.787234042553195,34.212765957446805,25.0,47.0,11.0,18.0,12.0,2022
Lesotho,27.9672131147541,40.787234042553195,34.212765957446805,25.0,44.0,11.0,16.0,11.0,2022
Jamaica,27.9672131147541,40.787234042553195,34.212765957446805,25.0,62.0,17.0,22.0,15.0,2023
Zimbabwe,27.9672131147541,40.787234042553195,34.212765957446805,25.0,57.0,14.0,21.0,12.0,2023
St. Vincent & Grenadines,27.9672131147541,40.787234042553195,34.212765957446805,25.0,55.0,13.0,19.0,12.0,2023
Ethiopia,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Afghanistan,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Malawi,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Dominica,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Vanuatu,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
St. Martin,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Suriname,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Norway,44.0,50.0,35.0,15.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Eswatini,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Kuwait,41.0,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
North Macedonia,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Malaysia,41.0,47.0,38.0,15.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Cyprus,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Myanmar (Burma),27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Anguilla,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Papua New Guinea,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
