month,home_workout_worldwide,gym_workout_worldwide,home_gym_worldwide
2018-03,12,16,10
2018-04,12,18,10
2018-05,13,16,9
2018-06,12,17,9
2018-07,12,17,9
2018-08,12,17,9
2018-09,11,17,10
2018-10,11,15,9
2018-11,11,15,9
2018-12,11,13,10
2019-01,16,21,13
2019-02,14,17,10
2019-03,13,17,10
2019-04,11,15,9
2019-05,12,16,9
2019-06,13,16,9
2019-07,14,17,10
2019-08,12,17,9
2019-09,11,16,10
2019-10,10,15,9
2019-11,11,16,10
2019-12,11,14,10
2020-01,15,21,12
2020-02,13,18,11
2020-03,13,17,11
2020-04,82,13,34
2020-05,44,10,25
2020-06,29,11,23
2020-07,28,13,23
2020-08,23,13,23
2020-09,21,15,20
2020-10,19,14,18
2020-11,20,12,19
2020-12,20,14,20
2021-01,31,16,25
2021-02,22,14,18
2021-03,19,15,17
2021-04,18,14,17
2021-05,19,14,17
2021-06,17,14,14
2021-07,16,16,14
2021-08,14,16,15
2021-09,14,15,13
2021-10,12,15,13
2021-11,12,14,14
2021-12,12,13,14
2022-01,21,19,21
2022-02,14,19,14
2022-03,13,19,13
2022-04,14,17,12
2022-05,13,17,12
2022-06,14,20,11
2022-07,14,20,12
2022-08,13,20,12
2022-09,11,19,11
2022-10,11,16,11
2022-11,11,18,12
2022-12,11,16,11
2023-01,17,22,15
2023-02,14,21,12
2023-03,13,19,12
