Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Afghanistan,AFG,456.101,449.554,471.749,465.209,515.459,511.766,448.188,442.407,401.952,390.109,382.051,373.966,362.387,333.348,326.338,319.863,311.9,308.249,316.547,295.841,290.083,284.871,282.338,270.723,264.795,259.868,254.511,247.96,241.256,236.917,231.583,225.563,220.219,214.871,212.215,209.573,204.096,196.522,193.284,190.261,210.053,214.241,203.017,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Albania,ALB,86.186,83.539,80.301,77.97,76.308,75.891,73.936,71.323,68.939,67.756,66.103,65.558,63.966,63.756,63.612,62.433,61.445,66.065,60.466,59.592,58.575,57.713,56.949,56.05,55.595,54.775,54.28,51.505,50.737,50.082,49.624,49.243,49.876,49.424,48.016,46.822,45.389,44.163,42.912,42.182,56.31,62.136,60.363,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Algeria,DZA,295.197,271.323,247.779,230.873,215.492,199.234,182.838,183.026,176.659,174.999,169.493,163.009,158.867,159.909,160.429,155.379,144.067,137.47,132.986,129.706,122.518,118.536,115.008,118.187,111.231,108.282,104.914,101.135,97.348,89.853,89.837,86.684,84.511,81.315,76.294,73.471,73.67,73.642,70.794,66.864,81.699,63.984,63.708,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Angola,AGO,380.987,379.271,376.916,389.52,385.7,384.069,383.848,400.842,395.517,393.36,391.688,372.739,389.433,380.831,368.946,359.414,359.432,356.158,366.405,360.65,360.01,349.638,348.413,329.859,320.654,312.939,306.638,293.787,289.154,276.31,266.289,260.537,247.851,243.505,236.076,229.953,229.534,222.983,213.533,214.355,212.645,227.092,222.861,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Antigua and Barbuda,ATG,112.289,111.191,109.799,110.242,109.881,109.324,109.245,108.824,109.258,110.762,109.787,110.346,109.737,110.618,108.234,106.675,103.508,101.454,99.899,97.647,94.431,90.393,88.35,92.333,93.223,90.285,90.859,87.766,85.371,83.496,82.084,79.518,77.028,74.345,71.352,71.265,68.379,66.718,63.384,60.871,58.544,56.879,60.727,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Argentina,ARG,128.967,124.291,126.497,125.944,128.028,128.104,125.162,122.404,119.584,117.014,115.717,110.058,110.21,109.009,108.916,107.854,107.068,107.397,105.342,103.831,102.208,99.422,95.58,102.93,95.868,92.45,90.894,92.523,88.91,87.333,88.828,84.699,79.569,79.171,78.091,76.307,79.285,75.849,73.538,70.582,87.621,90.414,84.787,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Armenia,ARM,127.911,123.893,121.987,118.737,118.634,118.268,115.45,120.422,354.967,112.134,111.998,111.924,110.137,108.388,106.955,107.468,102.847,107.005,100.48,104.182,101.019,97.531,96.961,91.284,94.264,88.68,87.163,84.779,82.929,78.156,76.073,74.024,75.87,72.57,68.255,65.825,63.252,61.969,60.479,58.735,85.966,84.064,73.798,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Aruba,ABW,104.684,100.132,98.201,96.277,94.918,93.042,92.073,92.047,91.882,91.352,90.626,90.726,90.055,89.362,88.656,87.303,86.54,86.62,86.115,85.098,84.781,84.47,83.823,84.154,84.481,83.405,83.226,83.555,79.111,75.032,65.303,64.747,64.378,62.588,63.334,62.67,63.233,60.614,59.643,58.036,59.682,70.365,67.946,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Australia,AUS,84.086,81.303,82.137,79.381,77.799,78.646,73.677,73.58,71.991,70.172,66.314,65.316,64.999,61.603,62.04,60.378,60.117,59.605,57.991,55.876,56.11,53.636,53.059,50.706,49.508,47.595,48.235,48.119,46.643,47.91,45.704,46.069,44.464,45.018,44.842,45.231,44.785,44.614,43.127,42.391,41.652,..,..,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Austria,AUT,91.566,89.63,89.941,90.63,83.994,82.717,80.425,76.681,73.153,73.365,74.578,73.139,71.612,72.481,70.497,67.848,67.426,61.964,62.274,63.636,63.196,60.139,58.829,59.49,55.035,55.201,51.442,51.858,50.262,50.079,48.689,49.353,46.708,45.326,46.009,44.687,43.796,41.779,43.991,40.952,..,..,..,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Azerbaijan,AZE,163.819,162.059,160.827,156.647,162.21,163.465,163.633,156.294,154.528,158.58,157.658,157.495,155.808,157.139,153.586,147.803,147.936,143.478,139.594,135.2,131.099,127.617,124.554,122.054,119.306,119.262,113.874,110.003,111.528,104.041,105.374,101.609,98.629,95.575,96.189,93.653,87.687,89.833,88.435,88.246,149.378,122.756,84.492,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Bahamas, The",BHS,181.195,177.912,171.688,166.374,160.341,159.282,159.662,165.658,163.39,162.309,156.747,155.205,152.875,153.301,152.693,153.414,154.817,150.588,148.409,146.211,143.389,141.513,140.426,138.67,138.491,135.661,134.668,138.431,137.977,137.222,136.55,140.829,139.158,135.261,131.736,134.412,128.925,126.656,125.128,159.168,130.8,142.806,120.957,..
