Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.08418062,0.65096337,0.54292566,0.5291841,0.49784002,0.55994755,0.62779975,0.53190351,0.46915731,0.47999981,0.34288675,0.44335932,0.47265697,0.52267277,0.60012972,0.64313394,0.55239552,0.49705607,1.18621242,0.72091633,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.76583052,2.75327635,2.58866954,2.67035341,2.82082701,2.68723226,2.63711214,2.74834085,2.30050445,2.35850596,2.37870526,2.39800286,2.45518541,2.57773447,2.5936265,2.70778155,2.88150787,2.77448845,2.87454414,2.92877913,2.99610233,2.88419509,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.51082778,2.9254992,2.8079257,2.7617898,2.52882004,2.24167132,2.29699397,2.66687727,3.02516317,3.79895926,3.55552173,3.71975923,4.37614059,4.28830338,4.71454287,4.90172052,4.45400095,4.36111259,4.27650404,3.68985248,3.74658775,3.2677834,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.90049219,3.81791759,3.97611761,3.55367517,3.2834096,3.59525061,2.97666311,2.93960619,3.69273424,4.12123442,5.67572212,5.60750246,4.66185188,4.77014637,4.81181049,4.9751277,4.9677825,5.08705902,5.21783257,5.22278023,6.38065815,6.16798115,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.11098742,2.04631472,1.30862689,1.46559668,1.68663394,1.27875817,1.44411969,1.72198772,2.1384356,2.60045791,1.67409563,1.71321774,1.56333566,1.69516695,1.31816018,1.23424065,1.19753695,1.29295039,1.10391033,1.12356877,1.70036924,1.71114159,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.72769094,3.21292543,3.09016109,3.34376001,2.96937299,2.77609158,2.45206785,2.2822845,2.13222933,2.29312468,3.13688278,3.09945083,3.08453822,3.08960581,3.47427654,3.15658259,2.86057758,2.73786783,2.91282296,2.55713224,3.68809605,3.92719984,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.49895144,4.59210253,4.03350496,3.77215648,3.74438357,3.91339946,4.01898909,4.25491619,4.50854683,5.66982841,5.56834269,5.68117285,6.13485479,6.22042274,6.3273077,6.82437325,6.44487762,6.59566355,6.03072071,6.08225393,6.62048721,6.1366396,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.95,1.34,1.17,1.21,1.29,1.48,1.59,1.61,1.49,1.81,1.69,1.67,1.58,1.38,1.51,1.61,1.64,1.37,1.23,1.41,2.36,2.19,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.45533848,5.45977974,5.66600704,5.62231302,5.79739761,5.72565842,5.71683931,5.87256861,5.96617031,6.23855972,6.09266853,6.25456142,6.17929935,5.92659712,6.89475489,7.23228073,7.17639828,7.21305084,7.18990898,7.53585672,7.87186623,8.01731968,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.83,6.83,6.9,6.98,7,6.99,6.94,6.94,7.18,7.45,7.4,7.29,7.43,7.42,7.52,7.51,7.49,7.66,7.71,7.85,8.74,9.47,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.87,0.81,0.74,0.77,0.86,0.89,0.87,0.91,0.87,1.13,1.01,0.95,1.12,1.07,1.13,1.31,1.17,1,0.89,1.07,2.33,1.49,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.50591624,1.56618142,1.50943291,1.62846565,1.611678,1.58765554,1.65727472,1.80025303,2.08452892,2.34723687,2.36928177,2.37497997,2.31367421,2.55259371,2.49005699,2.288836,2.75642586,3.69730067,2.96741509,3.01476622,4.63674402,3.98074675,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.3711853,2.49878359,2.62110639,2.56393409,2.3555398,2.27699614,2.15710616,2.11737251,2.08907962,2.86230993,2.6662631,2.52518535,2.68348098,2.80836272,2.86725354,3.23580289,2.98268986,2.56678796,2.42827964,2.30751538,2.96976209,2.81393075,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.50841981,0.38396508,0.47014153,0.48277113,0.48091501,0.45040676,0.47882023,0.48857561,0.44322866,0.43522108,0.47062662,0.4823136,0.46968287,0.4372614,0.4220427,0.38844827,0.4755646,0.50250494,0.48568422,0.44679779,0.40977541,0.39927667,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.76476121,2.94435692,3.13669062,3.76656032,4.34165335,3.87814832,3.70458078,3.29873323,3.58380818,3.8994081,3.61771655,3.34342408,4.30390453,3.80453491,3.28326321,3.19531894,3.14783049,2.99721408,2.9355917,2.78261447,3.64121318,4.37961721,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.15,4.26,4.08,4.39,4.4,4.52,3.99,3.99,3.48,3.48,3.85,3.09,3.44,3.57,3.37,3.69,4.19,3.98,3.9,4.13,4.54,4.87,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.96185923,6.13948441,6.13245678,6.79239893,6.99578476,6.89948606,6.80942583,6.77762461,7.2682395,7.87510586,7.77896738,7.89500046,8.02982998,8.03675461,8.07582664,8.24744034,8.28666973,8.28564739,8.31993294,8.12080002,8.72332096,8.56881809,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.38067818,1.7786721,1.84663904,1.7674284,1.72443783,1.79870033,1.9863174,2.3904438,2.92993355,2.90805674,2.99182129,3.00047994,2.87550759,2.92996645,3.03566694,3.14627051,3.32299232,3.1884737,3.24629021,3.29100513,3.74765062,3.4270196,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.14174652,1.23489308,0.97000545,1.05842531,1.16158247,1.06850517,1.08108544,0.96742857,0.74250972,0.86784607,0.7522946,0.65150005,0.74686456,0.76463026,0.57532531,0.59082586,0.47069678,0.4555631,0.44921657,0.31146821,0.27598524,0.31783193,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.54262948,3.53787732,3.32763267,2.85614896,3.0369277,2.64208412,2.46236444,2.66608858,2.33727217,2.6199491,2.56418729,2.45894694,2.51806545,2.55412817,2.45531821,2.78964067,2.6446631,2.48946476,2.57960916,2.65109873,3.40328145,2.20846629,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.43201661,2.61401916,2.60214591,2.75486469,2.53551769,2.7536962,2.61106277,2.7755425,2.70188808,3.15830708,3.05729318,3.02061009,2.9963541,3.26242685,3.69240737,4.30645275,4.4294467,4.44758177,4.79799795,4.89661789,5.80238628,5.88221836,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.08,4.33,4.43,5.49,5.16,4.94,5,5.27,5.4,6.14,6.14,6.21,6.51,6.59,6.68,6.4,6.48,6.18,6.12,6.13,6.75,6.53,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.2540555,3.50531387,3.76324773,3.60058308,3.4343946,2.86616707,2.79110265,3.12948751,3.66806316,3.41018438,3.60705996,3.60456705,4.09601831,4.15482092,3.99039125,4.13518047,3.83726597,5.01613283,4.14253378,4.37294102,4.48994827,4.82379913,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.47014546,3.51298475,3.6863513,3.50954437,3.46692538,3.34525228,3.54130626,3.48462701,3.50441861,3.70742011,3.57701325,3.46567941,3.35463309,3.55113959,3.69886327,3.85384846,3.94843698,3.95314622,3.88923812,3.91701889,4.52904463,4.50447893,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.14453936,2.11852527,2.11855745,2.15882659,2.12041497,1.86898351,1.62710452,1.69323945,1.68647766,2.1657393,2.09004593,1.70617342,1.68712533,1.71973145,1.77395678,2.26836538,2.42138696,2.14737701,2.29566693,2.07140136,2.25187159,2.05610466,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.47,3.85,4.2,4.37,4.1,4.1,3.63,3.43,3.48,3.55,3.92,3.85,3.83,4.04,4.47,4.13,4.11,4.12,4.22,4.19,5.07,5.38,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.96129316,0.97162038,1.05799043,0.9801873,1.69977903,1.22285259,1.43097806,1.43212855,1.36111355,1.64177847,1.30630887,1.34620178,1.06450117,1.61236513,1.62685239,1.45618761,2.38926005,2.60888934,2.12782741,2.22393513,2.8256712,2.73042727,..,..
